#      x          Cp  
     0.35092   -0.19143
     0.35805   -0.18940
     0.36519   -0.18779
     0.37234   -0.18497
     0.37950   -0.18303
     0.38667   -0.18077
     0.39384   -0.17836
     0.40102   -0.17588
     0.40821   -0.17353
     0.41541   -0.17117
     0.42261   -0.16804
     0.42981   -0.16643
     0.43703   -0.16346
     0.44425   -0.16075
     0.45147   -0.15857
     0.45870   -0.15599
     0.46593   -0.15301
     0.47317   -0.15040
     0.48042   -0.14785
     0.48766   -0.14520
     0.49491   -0.14266
     0.50217   -0.13895
     0.50943   -0.13740
     0.51669   -0.13393
     0.52396   -0.13120
     0.53123   -0.12860
     0.53851   -0.12525
     0.54578   -0.12405
     0.55306   -0.11896
     0.56035   -0.11811
     0.56763   -0.11394
     0.57492   -0.11170
     0.58221   -0.10823
     0.58950   -0.10561
     0.59680   -0.10381
     0.60410   -0.09892
     0.61140   -0.09695
     0.61870   -0.09439
     0.62600   -0.09082
     0.63330   -0.08817
     0.64061   -0.08543
     0.64792   -0.08193
     0.65523   -0.07858
     0.66254   -0.07621
     0.66985   -0.07283
     0.67716   -0.06973
     0.68447   -0.06642
     0.69178   -0.06360
     0.69910   -0.06038
     0.70641   -0.05707
     0.71372   -0.05389
     0.72104   -0.04995
     0.72835   -0.04692
     0.73567   -0.04394
     0.74298   -0.03976
     0.75030   -0.03649
     0.75761   -0.03392
     0.76493   -0.02858
     0.77224   -0.02653
     0.77955   -0.02152
     0.78686   -0.01831
     0.79418   -0.01370
     0.80149   -0.01091
     0.80879   -0.00567
     0.81610   -0.00180
     0.82341    0.00269
     0.83071    0.00680
     0.83801    0.01258
     0.84531    0.01643
     0.85261    0.02105
     0.85990    0.02747
     0.86719    0.03154
     0.87447    0.03737
     0.88174    0.04416
     0.88900    0.05009
     0.89624    0.05526
     0.90347    0.06432
     0.91067    0.06992
     0.91783    0.07786
     0.92494    0.08706
     0.93199    0.09473
     0.93896    0.10491
     0.94581    0.11541
     0.95251    0.12561
     0.95903    0.14032
     0.96533    0.15133
     0.97136    0.16534
     0.97709    0.18518
     0.98249    0.20253
     0.98753    0.22731
     0.99220    0.25729
     0.99653    0.29810
     1.00000    0.42113
